case_id,date,state,narrative,amount_lost,payment_channel,institution_type,outcome
FG-0001,2026-07-14,NY,"A caller claimed to be from the bank fraud department and the caller ID showed my bank. I was told to move money to a safe account and provide a one-time passcode. I sent the money myself through an instant payment and reported it the same morning.",8400,instant payment,bank,claim pending
FG-0002,2026-07-10,CA,"My small business received a vendor email stating that payment instructions changed. Accounts payable used the new bank details and sent the invoice by wire transfer. The actual supplier later said its email had been compromised.",46500,wire transfer,bank,unresolved
FG-0003,2026-07-08,TX,"I bought a laptop from an online marketplace. The seller requested payment outside the platform for a shipping fee and then stopped responding. The item never arrived.",1250,P2P payment,payment platform,denied - no refund
FG-0004,2026-07-03,FL,"I met someone on a dating app and developed an online relationship over several months. They said they loved me and needed money for a travel emergency before we could meet. I sent multiple wires and used most of my retirement savings.",78200,wire transfer,bank,partial recovery
FG-0005,2026-06-29,IL,"A social media contact introduced a crypto investment platform with guaranteed returns. The dashboard showed profits, but the operator demanded a tax before withdrawal. I paid again and still could not withdraw.",31900,cryptocurrency,crypto exchange,unresolved
FG-0006,2026-06-25,GA,"A person offered me remote work receiving funds for someone else. Several incoming transfers reached my new account and I was instructed to forward the money, keep a commission, and cash out quickly.",12600,ACH,bank,account closed for fraud
FG-0007,2026-06-20,PA,"A hospital bill that insurance said was adjusted appeared as a medical collection on my credit report. I disputed the billing error twice, but the collector requested the same documents again and my credit score dropped.",3400,not applicable,credit bureau,unresolved
FG-0008,2026-06-16,OH,"My mortgage servicer misapplied two payments and then sent a foreclosure warning. I called repeatedly, was transferred between departments, and submitted the payment history again. The account remains unresolved.",5100,ACH,mortgage servicer,unresolved
FG-0009,2026-06-11,NJ,"The company's financial statements appear to contain misstated revenue and an undisclosed related party. The investor disclosure omitted the arrangement even though it may be material.",0,not applicable,public company,information only
FG-0010,2026-06-07,AZ,"I received a text from someone pretending to be my bank. The bank security team supposedly needed my verification code to stop an account takeover. After I shared it, debit card transfers were made and my account was drained.",6900,debit card,bank,denied - no refund
FG-0011,2026-06-02,WA,"A home rental listing on a classified ad looked legitimate. The supposed owner asked for a deposit for the item and first month's rent by P2P payment before a tour. The listing was fake and the person disappeared.",4200,P2P payment,payment platform,unrecovered
FG-0012,2026-05-27,MA,"Our closing agent email was imitated before a home purchase. The message said the wire instructions changed and directed the down payment to new bank details. The title company did not receive the funds.",112000,wire transfer,bank,partial recovery
FG-0013,2026-05-22,MI,"A broker promoted an investment opportunity with guaranteed monthly returns and said the profits shown in the account would double. The broker was not licensed and demanded a withdrawal fee.",18750,ACH,investment platform,denied - no refund
FG-0014,2026-05-18,NC,"I authorized the transfer after a person posing as a utility employee said service would be disconnected within an hour. I used a payment app. The utility later confirmed it did not request the payment.",980,instant payment,payment platform,claim pending
FG-0015,2026-05-12,VA,"My elderly father was contacted by someone claiming to be from the bank fraud department. They used remote access and screen sharing, asked for a password, and moved his life savings by wire transfer.",96500,wire transfer,bank,unresolved
FG-0016,2026-05-07,CO,"I sold furniture through an online marketplace. The buyer sent a fake payment notice and asked me to pay an extra shipping fee outside the platform. I paid, but no legitimate payment was received.",760,P2P payment,payment platform,denied - no refund
FG-0017,2026-04-30,MN,"A person I believed was my romantic partner overseas asked for gift cards for a medical treatment emergency. This was the second time I sent money, and I am on a fixed income.",9400,gift card,retail payment service,unresolved
FG-0018,2026-04-24,TN,"My account received multiple incoming transfers from unrelated people. An online contact told me to rapidly send the funds onward as cryptocurrency and keep a commission. I now believe the account was used as a pass-through account.",22400,cryptocurrency,bank,confirmed fraud
FG-0019,2026-04-19,MD,"An unexpected medical bill was placed with a debt collector even though the provider could not explain the balance. I filed an appeal, made five calls, and received no response for more than 30 days.",2750,not applicable,debt collector,unresolved
FG-0020,2026-04-13,MO,"My home insurance claim was closed without a clear explanation after storm damage. The insurer requested the same documents several times, and the delay has affected mortgage repairs and housing stability.",14600,not applicable,insurance company,closed without payment
FG-0021,2026-04-08,OR,"Internal controls over the earnings report appear weak. A valuation was inflated and a material omission about customer concentration was not included in the investor disclosure.",0,not applicable,public company,information only
FG-0022,2026-04-02,SC,"A caller claiming to be from my bank said suspicious activity required an urgent transfer to a safe account. I sent an authorized push payment by P2P payment, then the bank closed the case and denied reimbursement.",13200,P2P payment,bank,denied - no refund
FG-0023,2026-03-27,WI,"A supplier email requested that an invoice be paid to new bank details. The message used the supplier's normal signature and created urgency. We later learned it was a business email compromise.",28400,wire transfer,credit union,unresolved
FG-0024,2026-03-21,IN,"A trading coach moved our conversation to a private messaging service and directed me to a crypto investment site. Profits shown increased every day, but a tax before withdrawal was demanded.",57000,cryptocurrency,crypto exchange,unrecovered
FG-0025,2026-03-16,LA,"My mortgage servicer added force-placed insurance even though I submitted proof of home insurance. The premium increased the payment, I was transferred repeatedly, and the case was closed without correction.",6800,ACH,mortgage servicer,closed without correction
FG-0026,2026-03-10,KY,"I paid a deposit for concert tickets through a marketplace seller using an instant payment. The seller then blocked me and the tickets were never delivered. The payment platform denied the claim.",620,instant payment,payment platform,denied - no refund
FG-0027,2026-02-26,AL,"A caller said they were from a national bank security team and that my checking account was compromised. They asked for a one-time passcode and told me to approve a transfer. I am retired and the loss affected money for medication.",11300,instant payment,bank,partial recovery
FG-0028,2026-02-14,UT,"A new online partner described a future together and then requested money for a military deployment travel emergency. I sent cryptocurrency several times and later learned the identity was fabricated.",24800,cryptocurrency,crypto exchange,unresolved
FG-0029,2026-01-28,KS,"A medical collection account appeared after the hospital had already confirmed a billing error. The credit bureau removed it temporarily, then reinserted it without a clear explanation, causing credit stress before a home loan application.",1900,not applicable,credit bureau,unresolved
FG-0030,2026-01-09,NV,"I disputed debit card transactions after a fake customer-support agent used remote access to my phone. Provisional credit was removed, I submitted documents again, and the bank did not respond for 60 days.",7300,debit card,bank,denied - no refund
